freq earlylow earlyhighmidlow midhighlatelow latehigh design BNSoptimised
1.422496e+01 1.222444e-20 1.260173e-21 7.843433e-22 7.837523e-22 3.636911e-22 2.704461e-22 2.768800e-22
1.425776e+01 1.211243e-20 1.248735e-21 7.772330e-22 7.766428e-22 3.604629e-22 2.681186e-22 2.745437e-22
1.429064e+01 1.200144e-20 1.237403e-21 7.701898e-22 7.696004e-22 3.572682e-22 2.658177e-22 2.722292e-22
1.432359e+01 1.189147e-20 1.226176e-21 7.632132e-22 7.626245e-22 3.541070e-22 2.635435e-22 2.699504e-22
1.435662e+01 1.178251e-20 1.215053e-21 7.563025e-22 7.557147e-22 3.509792e-22 2.612959e-22 2.676913e-22
1.438973e+01 1.167454e-20 1.204034e-21 7.494574e-22 7.488704e-22 3.478847e-22 2.590752e-22 2.654620e-22
1.442291e+01 1.156757e-20 1.193117e-21 7.426774e-22 7.420912e-22 3.448234e-22 2.568813e-22 2.632601e-22
1.445617e+01 1.146158e-20 1.182302e-21 7.359619e-22 7.353765e-22 3.417954e-22 2.547143e-22 2.610858e-22
1.448951e+01 1.135656e-20 1.171587e-21 7.293105e-22 7.287260e-22 3.388006e-22 2.525744e-22 2.589344e-22
1.452292e+01 1.125251e-20 1.160972e-21 7.227228e-22 7.221391e-22 3.358389e-22 2.504618e-22 2.568116e-22
1.455641e+01 1.114941e-20 1.150457e-21 7.161983e-22 7.156155e-22 3.329104e-22 2.483765e-22 2.547163e-22
1.458998e+01 1.104725e-20 1.140039e-21 7.097366e-22 7.091547e-22 3.300152e-22 2.463188e-22 2.526502e-22
1.462362e+01 1.094603e-20 1.129720e-21 7.033374e-22 7.027564e-22 3.271534e-22 2.442890e-22 2.506076e-22
1.465735e+01 1.084574e-20 1.119497e-21 6.970002e-22 6.964201e-22 3.243249e-22 2.422873e-22 2.485933e-22
1.469115e+01 1.074637e-20 1.109370e-21 6.907248e-22 6.901455e-22 3.215301e-22 2.403141e-22 2.466094e-22
1.472502e+01 1.064792e-20 1.099338e-21 6.845106e-22 6.839323e-22 3.187690e-22 2.383697e-22 2.446546e-22
1.475898e+01 1.055036e-20 1.089401e-21 6.783576e-22 6.777801e-22 3.160418e-22 2.364545e-22 2.427301e-22
1.479302e+01 1.045370e-20 1.079557e-21 6.722652e-22 6.716887e-22 3.133489e-22 2.345690e-22 2.408302e-22
1.482713e+01 1.035793e-20 1.069807e-21 6.662334e-22 6.656578e-22 3.106904e-22 2.327138e-22 2.389616e-22
1.486132e+01 1.026303e-20 1.060149e-21 6.602617e-22 6.596871e-22 3.080669e-22 2.308893e-22 2.371250e-22
1.489559e+01 1.016901e-20 1.050583e-21 6.543502e-22 6.537765e-22 3.054785e-22 2.290964e-22 2.353206e-22
1.492994e+01 1.007585e-20 1.041108e-21 6.484985e-22 6.479258e-22 3.029260e-22 2.273356e-22 2.335430e-22
1.496437e+01 9.983542e-21 1.031724e-21 6.427065e-22 6.421349e-22 3.004097e-22 2.256079e-22 2.318047e-22
1.499887e+01 9.892083e-21 1.022430e-21 6.369742e-22 6.364036e-22 2.979303e-22 2.239142e-22 2.300952e-22
1.503346e+01 9.801463e-21 1.013226e-21 6.313015e-22 6.307319e-22 2.954885e-22 2.222554e-22 2.284208e-22
1.506813e+01 9.711674e-21 1.004111e-21 6.256884e-22 6.251198e-22 2.930851e-22 2.206329e-22 2.267796e-22
1.510288e+01 9.622710e-21 9.950844e-22 6.201349e-22 6.195674e-22 2.907210e-22 2.190477e-22 2.251791e-22
1.513770e+01 9.534562e-21 9.861463e-22 6.146413e-22 6.140749e-22 2.883973e-22 2.175015e-22 2.236148e-22
1.517261e+01 9.447223e-21 9.772961e-22 6.092076e-22 6.086423e-22 2.861150e-22 2.159957e-22 2.220895e-22
1.520760e+01 9.360685e-21 9.685336e-22 6.038343e-22 6.032701e-22 2.838756e-22 2.145322e-22 2.206080e-22
1.524267e+01 9.274943e-21 9.598585e-22 5.985215e-22 5.979585e-22 2.816806e-22 2.131131e-22 2.191693e-22
1.527782e+01 9.189987e-21 9.512708e-22 5.932699e-22 5.927080e-22 2.795316e-22 2.117405e-22 2.177733e-22
1.531305e+01 9.105811e-21 9.427703e-22 5.880800e-22 5.875192e-22 2.774305e-22 2.104170e-22 2.164309e-22
1.534836e+01 9.022408e-21 9.343569e-22 5.829525e-22 5.823930e-22 2.753795e-22 2.091455e-22 2.151354e-22
1.538376e+01 8.939771e-21 9.260310e-22 5.778883e-22 5.773300e-22 2.733812e-22 2.079292e-22 2.138946e-22
1.541923e+01 8.857893e-21 9.177926e-22 5.728885e-22 5.723314e-22 2.714383e-22 2.067717e-22 2.127081e-22
1.545479e+01 8.776768e-21 9.096421e-22 5.679543e-22 5.673985e-22 2.695540e-22 2.056771e-22 2.115874e-22
1.549043e+01 8.696388e-21 9.015801e-22 5.630872e-22 5.625327e-22 2.677320e-22 2.046501e-22 2.105303e-22
1.552615e+01 8.616746e-21 8.936072e-22 5.582890e-22 5.577359e-22 2.659765e-22 2.036960e-22 2.095448e-22
1.556195e+01 8.537837e-21 8.857243e-22 5.535618e-22 5.530101e-22 2.642923e-22 2.028208e-22 2.086369e-22
1.559784e+01 8.459653e-21 8.779326e-22 5.489081e-22 5.483578e-22 2.626849e-22 2.020314e-22 2.078123e-22
1.563381e+01 8.382189e-21 8.702336e-22 5.443308e-22 5.437819e-22 2.611607e-22 2.013356e-22 2.070799e-22
1.566986e+01 8.305438e-21 8.626290e-22 5.398333e-22 5.392860e-22 2.597271e-22 2.007425e-22 2.064478e-22
1.570599e+01 8.229393e-21 8.551210e-22 5.354198e-22 5.348740e-22 2.583925e-22 2.002626e-22 2.059251e-22
1.574221e+01 8.154049e-21 8.477123e-22 5.310951e-22 5.305510e-22 2.571670e-22 1.999078e-22 2.055239e-22
1.577851e+01 8.079399e-21 8.404062e-22 5.268652e-22 5.263228e-22 2.560622e-22 1.996922e-22 2.052590e-22
1.581490e+01 8.005439e-21 8.332068e-22 5.227368e-22 5.221962e-22 2.550918e-22 1.996322e-22 2.051460e-22
1.585137e+01 7.932161e-21 8.261189e-22 5.187184e-22 5.181797e-22 2.542719e-22 1.997468e-22 2.052039e-22
1.588792e+01 7.859561e-21 8.191487e-22 5.148200e-22 5.142832e-22 2.536216e-22 2.000587e-22 2.054542e-22
1.592456e+01 7.787633e-21 8.123035e-22 5.110538e-22 5.105191e-22 2.531638e-22 2.005942e-22 2.059215e-22
1.596128e+01 7.716372e-21 8.055925e-22 5.074346e-22 5.069021e-22 2.529257e-22 2.013852e-22 2.066406e-22
1.599809e+01 7.645774e-21 7.990271e-22 5.039806e-22 5.034505e-22 2.529405e-22 2.024693e-22 2.076456e-22
1.603498e+01 7.575834e-21 7.926214e-22 5.007144e-22 5.001868e-22 2.532481e-22 2.038922e-22 2.089822e-22
1.607195e+01 7.506547e-21 7.863934e-22 4.976641e-22 4.971391e-22 2.538975e-22 2.057089e-22 2.107039e-22
1.610902e+01 7.437912e-21 7.803657e-22 4.948648e-22 4.943429e-22 2.549492e-22 2.079867e-22 2.128832e-22
